PV	Sw
0	2.14E-01
0	2.14E-01
0	2.14E-01
0.01	2.14E-01
0.01	2.14E-01
0.01	2.14E-01
0.01	2.14E-01
0.01	2.14E-01
0.02	2.14E-01
0.04	2.14E-01
0.06	2.14E-01
0.07	2.14E-01
0.09	2.14E-01
0.1	2.14E-01
0.11	2.14E-01
0.13	2.14E-01
0.14	2.14E-01
0.15	2.14E-01
0.16	2.14E-01
0.17	2.14E-01
0.19	2.14E-01
0.2	2.14E-01
0.21	2.14E-01
0.22	2.14E-01
0.23	2.14E-01
0.23	2.14E-01
0.24	2.14E-01
0.25	2.14E-01
0.26	2.14E-01
0.27	2.14E-01
0.28	2.14E-01
0.29	2.14E-01
0.3	3.42E-01
0.31	3.85E-01
0.32	4.30E-01
0.33	4.71E-01
0.34	5.07E-01
0.35	5.37E-01
0.35	5.65E-01
0.36	5.90E-01
0.37	6.15E-01
0.38	6.53E-01
0.39	6.81E-01
0.4	6.96E-01
0.41	7.21E-01
0.42	7.44E-01
0.43	7.65E-01
0.44	7.95E-01
0.45	8.11E-01
0.46	8.16E-01
0.48	8.19E-01
0.49	8.20E-01
0.5	8.21E-01
0.51	8.23E-01
0.52	8.24E-01
0.53	8.25E-01
0.54	8.24E-01
0.55	8.24E-01
0.56	8.26E-01
0.58	8.26E-01
0.59	8.27E-01
0.6	8.27E-01
0.61	8.27E-01
0.62	8.28E-01
0.63	8.28E-01
0.64	8.28E-01
0.65	8.29E-01
0.66	8.29E-01
0.67	8.28E-01
