PV	Sw
5.61E-02	0.98840652
6.56E-02	0.98840652
7.50E-02	0.994111434
8.44E-02	0.994111434
9.39E-02	0.994111434
1.03E-01	0.997026315
1.13E-01	0.997026315
1.22E-01	0.997026315
1.32E-01	0.999071854
1.41E-01	0.999071854
1.51E-01	1.000287654
1.60E-01	1.000287654
1.69E-01	1.000287654
1.79E-01	1.000878774
1.88E-01	1.000878774
1.98E-01	1.000553967
2.07E-01	1.000553967
2.17E-01	1.000553967
2.26E-01	0.999677077
2.36E-01	0.999677077
2.45E-01	0.998532006
2.55E-01	0.998532006
2.64E-01	0.998532006
2.73E-01	0.997002824
2.83E-01	0.997002824
2.92E-01	0.99516676
3.02E-01	0.99516676
3.11E-01	0.99516676
3.21E-01	0.99303182
3.30E-01	0.99303182
3.40E-01	0.99303182
3.49E-01	0.990692646
3.59E-01	0.990692646
3.68E-01	0.988156551
3.78E-01	0.988156551
3.87E-01	0.988156551
3.97E-01	0.985438287
4.06E-01	0.985438287
4.16E-01	0.982622207
4.25E-01	0.982622207
4.35E-01	0.982622207
4.44E-01	0.98018069
4.53E-01	0.98018069
4.63E-01	0.977953366
4.72E-01	0.977953366
4.82E-01	0.977953366
4.91E-01	0.97605689
5.01E-01	0.97605689
5.10E-01	0.97605689
5.20E-01	0.974362839
5.29E-01	0.974362839
5.39E-01	0.972577539
5.48E-01	0.972577539
5.58E-01	0.972577539
5.67E-01	0.970771764
5.77E-01	0.970771764
5.86E-01	0.968507924
5.96E-01	0.968507924
6.05E-01	0.968507924
6.15E-01	0.965782453
6.24E-01	0.965782453
6.34E-01	0.963162818
6.43E-01	0.963162818
6.53E-01	0.963162818
6.62E-01	0.960211682
6.72E-01	0.960211682
6.81E-01	0.960211682
6.90E-01	0.957607819
7.00E-01	0.957607819
7.09E-01	0.954395788
7.19E-01	0.954395788
7.28E-01	0.954395788
7.38E-01	0.951317831
7.47E-01	0.951317831
7.57E-01	0.948125148
7.66E-01	0.948125148
7.76E-01	0.948125148
7.85E-01	0.944564684
7.95E-01	0.944564684
8.04E-01	0.940660301
8.14E-01	0.940660301
8.23E-01	0.940660301
8.33E-01	0.936978528
8.42E-01	0.936978528
8.51E-01	0.933012291
8.61E-01	0.933012291
8.70E-01	0.933012291
8.80E-01	0.929220008
8.89E-01	0.929220008
8.99E-01	0.929220008
9.08E-01	0.925489164
9.18E-01	0.925489164
9.27E-01	0.921315829
9.37E-01	0.921315829
9.46E-01	0.921315829
9.56E-01	0.917339493
9.65E-01	0.917339493
9.75E-01	0.913294651
9.84E-01	0.913294651
9.94E-01	0.913294651
1.00E+00	0.909172316
1.01E+00	0.909172316
1.02E+00	0.905096467
1.03E+00	0.905096467
1.04E+00	0.905096467
1.05E+00	0.900909892
1.06E+00	0.900909892
1.07E+00	0.900909892
1.08E+00	0.896609108
1.09E+00	0.896609108
1.10E+00	0.892496174
1.11E+00	0.892496174
1.12E+00	0.892496174
1.13E+00	0.888354434
1.14E+00	0.888354434
1.14E+00	0.884056739
1.15E+00	0.884056739
1.16E+00	0.884056739
1.17E+00	0.880204325
1.18E+00	0.880204325
1.19E+00	0.875663562
1.20E+00	0.875663562
1.21E+00	0.875663562
1.22E+00	0.87118688
1.23E+00	0.87118688
1.24E+00	0.866802257
1.25E+00	0.866802257
1.26E+00	0.866802257
1.27E+00	0.862324922
1.28E+00	0.862324922
1.29E+00	0.862324922
1.30E+00	0.857750342
1.31E+00	0.857750342
1.32E+00	0.853196174
1.32E+00	0.853196174
1.33E+00	0.853196174
1.34E+00	0.848563354
1.35E+00	0.848563354
1.36E+00	0.844125516
1.37E+00	0.844125516
1.38E+00	0.844125516
1.39E+00	0.839560036
1.40E+00	0.839560036
1.41E+00	0.834687255
1.42E+00	0.834687255
1.43E+00	0.834687255
1.44E+00	0.829813959
1.45E+00	0.829813959
1.46E+00	0.829813959
1.47E+00	0.825057576
1.48E+00	0.825057576
1.49E+00	0.82004578
1.50E+00	0.82004578
1.50E+00	0.82004578
1.51E+00	0.815036096
1.52E+00	0.815036096
1.53E+00	0.809918181
1.54E+00	0.809918181
1.55E+00	0.809918181
1.56E+00	0.804628084
1.57E+00	0.804628084
1.58E+00	0.79915401
1.59E+00	0.79915401
1.60E+00	0.79915401
1.61E+00	0.793740392
1.62E+00	0.793740392
1.63E+00	0.793740392
1.64E+00	0.788251702
1.65E+00	0.788251702
1.66E+00	0.782934915
1.67E+00	0.782934915
1.67E+00	0.782934915
1.68E+00	0.777601958
1.69E+00	0.777601958
1.70E+00	0.771903609
1.71E+00	0.771903609
1.72E+00	0.771903609
1.73E+00	0.766312606
1.74E+00	0.766312606
1.75E+00	0.760617157
1.76E+00	0.760617157
1.77E+00	0.760617157
1.78E+00	0.755034819
1.79E+00	0.755034819
1.80E+00	0.749393486
1.81E+00	0.749393486
1.82E+00	0.749393486
1.83E+00	0.743677635
1.84E+00	0.743677635
1.85E+00	0.743677635
1.85E+00	0.737866607
1.86E+00	0.737866607
1.87E+00	0.732099666
1.88E+00	0.732099666
1.89E+00	0.732099666
1.90E+00	0.726473338
1.91E+00	0.726473338
1.92E+00	0.720917615
1.93E+00	0.720917615
1.94E+00	0.720917615
1.95E+00	0.715414273
1.96E+00	0.715414273
1.97E+00	0.709815477
1.98E+00	0.709815477
1.99E+00	0.709815477
2.00E+00	0.704156908
2.01E+00	0.704156908
2.02E+00	0.704156908
2.02E+00	0.69855539
2.03E+00	0.69855539
2.04E+00	0.693079036
2.05E+00	0.693079036
2.06E+00	0.693079036
2.07E+00	0.687739785
2.08E+00	0.687739785
2.09E+00	0.682336807
2.10E+00	0.682336807
2.11E+00	0.682336807
2.12E+00	0.676982667
2.13E+00	0.676982667
2.14E+00	0.671647119
2.15E+00	0.671647119
2.16E+00	0.671647119
2.17E+00	0.666585982
2.18E+00	0.666585982
2.19E+00	0.661415145
2.20E+00	0.661415145
2.20E+00	0.661415145
2.21E+00	0.656244641
