Bandera Gray		Buffalo Berea		Gray Berea		
PV	Amplitude, Pa	PV	Amplitude, Pa	PV	Amplitude, Pa	
10.20511543	0.361271625	6.085475685	0.355059906	25.30115852	0.457643132	
10.52360957	0.374027252	6.329705757	0.353315315	25.71319399	0.453158598	
10.84071194	0.387392027	6.573882806	0.350109264	26.12463537	0.458567409	
11.15648317	0.401572845	6.818025008	0.34542377	26.53550955	0.455641475	
11.47100708	0.406839842	7.062133401	0.361333406	26.94581594	0.457770807	
11.78435011	0.410508591	7.306227948	0.357403324	27.35561392	0.457669518	
12.09657509	0.412470846	7.550276828	0.35139287	27.76491376	0.456060967	
12.40776718	0.412440517	7.794306882	0.344000943	28.17377734	0.454042194	
12.71807448	0.411305075	8.038297384	0.33407189	28.58217533	0.453735578	
13.0274404	0.407797936	8.282264714	0.322237295	28.99016021	0.45309235	
13.33597772	0.402517731	8.526190658	0.322494865	29.3977291	0.451604142	
13.64373435	0.395145544	8.770084766	0.321858098	29.8049125	0.449772424	
13.95078189	0.385375538	9.013958095	0.321924931	30.21173337	0.450843874	
14.25789369	0.373694383	9.257798972	0.321598693	30.61816835	0.45106706	
14.56416179	0.372007378	9.501619805	0.321712803	31.02428128	0.452242517	
14.86933722	0.370089012	9.745406184	0.322229085	31.43003652	0.452013145	
15.17394324	0.368810491	9.989165184	0.322031949	31.8354591	0.451494958	
15.47804164	0.366542164	10.23290388	0.321812935	32.24057888	0.450616271	
15.78169485	0.365217362	10.47661385	0.322188691	32.64542975	0.45059646	
16.08491256	0.363137557	10.72029412	0.321787349	33.04997965	0.449177914	
16.38771039	0.361139883	10.96396466	0.321352809	33.45423163	0.449333814	
16.69013338	0.358851783	11.20760629	0.321585881	33.8582079	0.448143151	
16.9921984	0.356860484	11.4512283	0.321396835	34.26193457	0.447195913	
17.29389242	0.355306091	11.69485366	0.320356658	34.66537981	0.446440017	
17.59526927	0.353106005	11.93845095	0.319592617	35.06855971	0.445466671	
17.89634956	0.350598188	12.18204147	0.318647574	35.47149537	0.443464841	
18.19713646	0.349186385	12.42559752	0.317828029	35.87419313	0.441682419	
18.49765599	0.347806977	12.66914263	0.316849884	36.27714126	0.439560896	
18.79790792	0.346451494	12.91266702	0.315896515	36.67929533	0.438838939	
19.09791866	0.345115043	13.15616916	0.314579095	37.08121396	0.437756326	
19.39769112	0.344158979	13.39966054	0.313668931	37.48291482	0.436966378	
19.69723866	0.343326837	13.64313345	0.312378297	37.88441183	0.435778779	
19.99656381	0.342486676	13.88659891	0.311004366	38.28567615	0.433401079	
20.29568567	0.34213164	14.13004463	0.309549219	38.68672611	0.431989091	
20.59460737	0.342539542	14.37347796	0.308163656	39.0875463	0.431380073	
20.89332825	0.342686966	14.61690462	0.306662068	39.4881897	0.429979585	
21.19187383	0.343497421	14.86031889	0.30551659	39.88862295	0.430212305	
21.49024302	0.343255809	15.10370962	0.303768058	40.28883836	0.429214728	
21.78844145	0.344033582	15.34708983	0.302036142	40.68885953	0.429021055	
22.08648001	0.344016644	15.59045221	0.300493642	41.0886881	0.428797805	
22.38436847	0.343319946	15.83378995	0.298995148	41.48829926	0.428152692	
22.68209627	0.342419022	16.07713153	0.29713791	41.88773893	0.427083746	
22.97967937	0.341753028	16.32045456	0.295593427	42.28698757	0.425658705	
23.27710223	0.34123623	16.56375701	0.293837243	42.68605676	0.424905632	
23.57439348	0.340839923	16.80706428	0.292258842	43.08493962	0.423706127	
23.87153601	0.340914494	17.05035643	0.290542168	43.48362234	0.422814855	
24.16856186	0.340077832	17.29364968	0.288812731	43.88214393	0.42270004	
24.46544469	0.339540726	17.53691051	0.287529316	44.28046267	0.421694988	
24.76221365	0.339286673	17.7801691	0.286433386	44.67862678	0.419107386	
25.05884838	0.339691985	18.02342629	0.285964104	45.07662894	0.417877192	
25.35538019	0.339660533	18.2666618	0.285229097	45.47444138	0.418276982	
25.65177244	0.338633394	18.5098972	0.284364153	45.87209264	0.417566162	
25.94806711	0.338476958	18.75312366	0.283950408	46.26958523	0.416711848	
26.24422649	0.337764722	18.99632867	0.283570027	46.66690637	0.415166435	
26.54028728	0.336796426	19.23952014	0.283152499	47.06408209	0.414088419	
26.83623143	0.335686823	19.48270105	0.282167015	47.46110829	0.413729578	
27.13208018	0.334350186	19.72588152	0.281089844	47.85798042	0.413305984	
27.42782383	0.333224447	19.96903842	0.280241536	48.25469092	0.41289624	
27.72346059	0.332135688	20.21219482	0.279187782	48.65125529	0.41244709	
28.0190058	0.330886669	20.45534211	0.278757264	49.04767164	0.412898599	
28.3144341	0.32984684	20.69846897	0.27829059	49.44394223	0.412791107	
28.60979782	0.329226282	20.94155299	0.277400208	49.84005518	0.412803016	
28.90505915	0.328231858	21.18464091	0.277272794	50.2360226	0.413393896	
29.20019783	0.328014044	21.42771559	0.276348351	50.63186364	0.413319482	
29.49528426	0.327254159	21.67080112	0.276095676	51.02756212	0.413537156	
29.79027908	0.326426647	21.91386384	0.27508662	51.42312404	0.414287845	
30.08517691	0.325926289	22.15692849	0.27369372	51.81852962	0.415064609	
