Bandera Gray		Buffalo Berea		Gray Berea		
PV	Rate_Pulses, 1/s	PV	Rate_Pulses, 1/s	PV	Rate_Pulses, 1/s	
1.02E+01	1.49E+04	6.09E+00	6.81E+03	2.53E+01	3.05E+04	
1.05E+01	1.52E+04	6.33E+00	7.64E+03	2.57E+01	2.96E+04	
1.08E+01	1.56E+04	6.57E+00	7.97E+03	2.61E+01	3.18E+04	
1.12E+01	1.63E+04	6.82E+00	8.62E+03	2.65E+01	3.12E+04	
1.15E+01	1.63E+04	7.06E+00	8.59E+03	2.69E+01	3.21E+04	
1.18E+01	1.63E+04	7.31E+00	8.74E+03	2.74E+01	3.23E+04	
1.21E+01	1.64E+04	7.55E+00	8.90E+03	2.78E+01	3.21E+04	
1.24E+01	1.65E+04	7.79E+00	9.16E+03	2.82E+01	3.17E+04	
1.27E+01	1.65E+04	8.04E+00	9.36E+03	2.86E+01	3.17E+04	
1.30E+01	1.64E+04	8.28E+00	9.56E+03	2.90E+01	3.16E+04	
1.33E+01	1.63E+04	8.53E+00	9.66E+03	2.94E+01	3.13E+04	
1.36E+01	1.62E+04	8.77E+00	9.71E+03	2.98E+01	3.10E+04	
1.40E+01	1.61E+04	9.01E+00	9.82E+03	3.02E+01	3.11E+04	
1.43E+01	1.59E+04	9.26E+00	9.93E+03	3.06E+01	3.11E+04	
1.46E+01	1.59E+04	9.50E+00	1.02E+04	3.10E+01	3.14E+04	
1.49E+01	1.57E+04	9.75E+00	1.04E+04	3.14E+01	3.14E+04	
1.52E+01	1.57E+04	9.99E+00	1.04E+04	3.18E+01	3.13E+04	
1.55E+01	1.57E+04	1.02E+01	1.06E+04	3.22E+01	3.10E+04	
1.58E+01	1.55E+04	1.05E+01	1.08E+04	3.26E+01	3.10E+04	
1.61E+01	1.55E+04	1.07E+01	1.09E+04	3.30E+01	3.06E+04	
1.64E+01	1.54E+04	1.10E+01	1.11E+04	3.35E+01	3.07E+04	
1.67E+01	1.52E+04	1.12E+01	1.13E+04	3.39E+01	3.03E+04	
1.70E+01	1.50E+04	1.15E+01	1.14E+04	3.43E+01	3.01E+04	
1.73E+01	1.48E+04	1.17E+01	1.15E+04	3.47E+01	3.00E+04	
1.76E+01	1.46E+04	1.19E+01	1.16E+04	3.51E+01	2.98E+04	
1.79E+01	1.43E+04	1.22E+01	1.17E+04	3.55E+01	2.95E+04	
1.82E+01	1.40E+04	1.24E+01	1.18E+04	3.59E+01	2.91E+04	
1.85E+01	1.39E+04	1.27E+01	1.19E+04	3.63E+01	2.86E+04	
1.88E+01	1.36E+04	1.29E+01	1.20E+04	3.67E+01	2.84E+04	
1.91E+01	1.33E+04	1.32E+01	1.20E+04	3.71E+01	2.83E+04	
1.94E+01	1.31E+04	1.34E+01	1.22E+04	3.75E+01	2.81E+04	
1.97E+01	1.29E+04	1.36E+01	1.23E+04	3.79E+01	2.80E+04	
2.00E+01	1.28E+04	1.39E+01	1.24E+04	3.83E+01	2.74E+04	
2.03E+01	1.27E+04	1.41E+01	1.25E+04	3.87E+01	2.71E+04	
2.06E+01	1.25E+04	1.44E+01	1.26E+04	3.91E+01	2.70E+04	
2.09E+01	1.26E+04	1.46E+01	1.27E+04	3.95E+01	2.68E+04	
2.12E+01	1.25E+04	1.49E+01	1.28E+04	3.99E+01	2.69E+04	
2.15E+01	1.25E+04	1.51E+01	1.29E+04	4.03E+01	2.67E+04	
2.18E+01	1.25E+04	1.53E+01	1.30E+04	4.07E+01	2.68E+04	
2.21E+01	1.25E+04	1.56E+01	1.32E+04	4.11E+01	2.69E+04	
2.24E+01	1.24E+04	1.58E+01	1.32E+04	4.15E+01	2.69E+04	
2.27E+01	1.22E+04	1.61E+01	1.32E+04	4.19E+01	2.68E+04	
2.30E+01	1.22E+04	1.63E+01	1.33E+04	4.23E+01	2.66E+04	
2.33E+01	1.20E+04	1.66E+01	1.33E+04	4.27E+01	2.67E+04	
2.36E+01	1.20E+04	1.68E+01	1.33E+04	4.31E+01	2.66E+04	
2.39E+01	1.18E+04	1.71E+01	1.34E+04	4.35E+01	2.65E+04	
2.42E+01	1.15E+04	1.73E+01	1.35E+04	4.39E+01	2.66E+04	
2.45E+01	1.15E+04	1.75E+01	1.35E+04	4.43E+01	2.65E+04	
2.48E+01	1.13E+04	1.78E+01	1.35E+04	4.47E+01	2.61E+04	
2.51E+01	1.13E+04	1.80E+01	1.36E+04	4.51E+01	2.59E+04	
